epoch,train_loss,val_loss
1,0.018413127710133828,0.01181802736078508
2,0.012546019097974736,0.011557624808896433
3,0.012124965522157045,0.010805801674180932
4,0.011390971777963015,0.011891482356910415
5,0.010845179664138399,0.010927674292435092
6,0.01073056196700428,0.010468319508552494
7,0.010602662836930914,0.01004521282737687
8,0.010173658984593454,0.010434540313951654
9,0.010325710911135641,0.009799178989104235
10,0.010234421811438547,0.010154036736141741
11,0.010055538460781985,0.00991833492840362
12,0.010114245875359511,0.011033148415399943
13,0.009904650604185024,0.010126265475581325
14,0.009919601767541914,0.010060653305896212
15,0.00959106124835407,0.009843491031838037
16,0.009597362779341685,0.010431545356324129
17,0.00960539263205305,0.010135089882549082
18,0.009498682876837526,0.00974223517468178
19,0.00946092073208971,0.010195735163773223
20,0.009409836082959266,0.010462003542962353
21,0.009517943946458478,0.010424841858335648
22,0.00932532156927991,0.009986433112199695
23,0.009209211523326852,0.010832830636128036
24,0.009364243512419344,0.010415076661653583
25,0.00917895171062283,0.010448870812589469
26,0.00917335479739835,0.010492372167965728
27,0.009201023805822089,0.0104960636965395
28,0.009220299451446569,0.01069081323562017
29,0.009206966294870503,0.01053753503703495
30,0.008770271845535858,0.010117028354778379
31,0.00872846710570675,0.010335128251481265
32,0.008737520820793912,0.010506837839678571
33,0.008663685866193599,0.009957901779357218
34,0.008599302705529745,0.010072375979068288
35,0.008756311815970497,0.010309209421671404
36,0.008600778925970656,0.010151490544693472
37,0.008518565351709893,0.010149743324224064
38,0.008636554321788725,0.00983851916717794
39,0.008560812940883114,0.011028057212711306
40,0.00844153494895045,0.010451161706706768
41,0.008278553653861943,0.010536125621418615
42,0.008200151973393384,0.010337014557017684
43,0.008192285187526727,0.010146276363105007
